 Area Name, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
New York State,"Total, All Occupations",8668580.0,73330,50850.0,33220,93390.0
New York State,Management Occupations,515320.0,162180,140030.0,77280,204630.0
New York State,Fundraising Managers,2030.0,179710,167620.0,111650,213740.0
New York State,General and Operations Managers,194910.0,150720,129810.0,64700,193730.0
New York State,Legislators,4350.0,92100,95720.0,59370,108460.0
New York State,Electrical Engineers,8940.0,110510,103560.0,71410,130070.0
Capital Region,Statisticians,120.0,103020,82520.0,60490,124280.0
Capital Region,Pharmacists,1060.0,127480,132290.0,93200,144620.0
New York State,Advertising and Promotions Managers,7380.0,185310,168230.0,103220,226360.0
New York State,Marketing Managers,24480.0,198280,174120.0,126820,234010.0
New York State,Sales Managers,26630.0,205440,196660.0,110770,252780.0
New York State,Public Relations Managers,5240.0,169100,155850.0,95460,205910.0
New York State,Administrative Services Managers,11200.0,148930,131260.0,94090,176350.0
New York State,Facilities Managers,6060.0,131710,127610.0,82440,156340.0
New York State,Computer and Information Systems Managers,29800.0,200310,184400.0,130210,235360.0
New York State,Financial Managers,49570.0,214780,212780.0,124910,259720.0
New York State,Industrial Production Managers,4820.0,134800,127840.0,85780,159300.0
New York State,Purchasing Managers,3860.0,161400,155460.0,100010,192090.0
New York State,"Transportation, Storage, and Distribution Managers",4900.0,124730,118140.0,78130,148030.0
New York State,Compensation and Benefits Managers,1520.0,192820,172600.0,120820,228820.0
New York State,Human Resources Managers,10310.0,187820,168440.0,107870,227790.0
New York State,Training and Development Managers,2730.0,182790,168240.0,113450,217460.0
New York State,Construction Managers,7670.0,142510,126300.0,80320,173600.0
New York State,"Education Administrators, Preschool and Childcare Center/Program",3570.0,69760,61570.0,41890,83700.0
New York State,"Education Administrators, Elementary and Secondary School",18780.0,143450,132030.0,94310,168030.0
New York State,"Education Administrators, Postsecondary",5950.0,165620,155600.0,103790,196530.0
New York State,"Education Administrators, All Other",2390.0,115510,97660.0,61990,142270.0
New York State,Architectural and Engineering Managers,5670.0,173850,167390.0,119400,201080.0
New York State,Food Service Managers,11990.0,74990,67600.0,48980,88000.0
New York State,"Entertainment and Recreation Managers, Except Gambling",380.0,90280,79810.0,50060,110380.0
New York State,Lodging Managers,2160.0,87900,76050.0,49900,106900.0
New York State,Medical and Health Services Managers,24060.0,159710,135220.0,95680,191720.0
New York State,Natural Sciences Managers,2690.0,184450,168940.0,115850,218760.0
New York State,Postmasters and Mail Superintendents,770.0,86170,83840.0,74240,92140.0
New York State,"Property, Real Estate, and Community Association Managers",8420.0,111010,100020.0,59160,136930.0
New York State,Social and Community Service Managers,12580.0,92760,81350.0,62360,107970.0
New York State,Emergency Management Directors,590.0,99240,83460.0,63400,117170.0
New York State,Funeral Home Managers,870.0,97420,97230.0,50410,120920.0
New York State,"Personal Service Managers, All Other",260.0,84220,70850.0,51200,100720.0
New York State,"Managers, All Other",12380.0,157840,135950.0,84090,194710.0
New York State,Business and Financial Operations Occupations,658470.0,104080,89780.0,56770,127740.0
New York State,"Agents and Business Managers of Artists, Performers, and Athletes",2030.0,124890,81940.0,59990,157340.0
New York State,Buyers and Purchasing Agents,27300.0,79350,75340.0,48070,94990.0
